prospective,0.507699839811063
named,0.18977240496066317
chariot,0.6058866397748017
ordered,0.7151873025304192
help,0.3440586207800205
people,0.057844941094332095
appeared,0.2559675471790023
shiva,0.7779475166556916
salva,1.0
relieve,0.555062634742525
traverse,0.7151873025304192
"universe unhindered,",1.0
strike terror,1.0
year,0.5237148610443224
carry,0.4685484776970559
earth,0.3623666473799188
worship,0.5005746834191107
shishupala,0.7258749978255913
living,0.3060253520402318
yadus,0.690701349995728
began,0.24702938681048728
rukmini,0.706815730722823
created,0.3289790495887946
also,0.0
reptiles,0.507699839811063
boon,0.4790147453449787
denied,0.3852905221170182
terror,0.5752482549256738
destroy,0.5994903154643976
friend,0.7868107458985137
gave,0.20069352236366633
maya,0.7482753716886017
salva.,0.8164722818498625
offer,0.43347067029042846
handful,0.5994903154643976
shiva living,1.0
strike,0.5994903154643976
asura,0.6163515118943914
nearly,0.6139023232109757
dust,0.3852905221170182
entire,0.37210123252113325
succumbing,0.507699839811063
vowed,0.4507052592401936
krishna,0.37806127063959116
resolve,0.5994903154643976
yadavas,0.851359018626979
especially,0.507699839811063
mortals,0.507699839811063
attacks,0.507699839811063
universe,0.5237148610443224
could,0.057844941094332095
celestials,0.37068728360858766
soubha,0.8164722818498625
bride,0.6421397432761011
entire universe,1.0
architect,0.5994903154643976
undesirable,0.4507052592401936
iron,0.555062634742525
asura architect,1.0
hearts,0.33792948897627234
hatred,0.3289790495887946
asked,0.2303113863807199
unhindered,0.507699839811063
