Feature Word,Priority Index Old,Proximity Score,Neighbour,Section
prospective,0.507699839811063,0.6913353712223688,universe,NA
named,0.18977240496066317,0.6839031350622582,asked,NA
chariot,0.6058866397748017,0.7651788452631656,destroy,NA
help,0.3440586207800205,0.7888410411106982,hatred,NA
people,0.057844941094332095,0.6717247119178443,also,NA
appeared,0.2559675471790023,0.6696998168689531,gave,NA
relieve,0.555062634742525,0.7226469269778146,reptiles,NA
Rukmini,0.706815730722823,0.6898682396557811,Ordered,NA
traverse,0.7151873025304192,0.7071182116906317,Shishupala,NA
Shishupala,0.7258749978255913,0.7071182116906317,traverse,NA
mortals,0.507699839811063,0.9227562961100391,worship,NA
year,0.5237148610443224,0.8600523953893146,reptiles,NA
carry,0.4685484776970559,0.7536101775916764,reptiles,NA
earth,0.3623666473799188,0.8968790317232337,celestials,NA
worship,0.5005746834191107,0.9414379900618164,reptiles,NA
living,0.3060253520402318,0.6996788805318187,help,NA
Maya,0.7482753716886017,0.6872440250178202,Shishupala,NA
Salva.,0.8164722818498625,0.7337457556593028,friend,NA
began,0.24702938681048728,0.6805483463778321,gave,NA
Yadus,0.690701349995728,0.6749337552835207,traverse,NA
also,0.0,0.6717247119178443,people,NA
reptiles,0.507699839811063,0.9414379900618164,worship,NA
boon,0.4790147453449787,0.7599085627009791,reptiles,NA
denied,0.3852905221170182,0.8409193845419299,celestials,NA
terror,0.5752482549256738,0.7080364173085939,relieve,NA
destroy,0.5994903154643976,0.7651788452631656,chariot,NA
friend,0.7868107458985137,0.7337457556593028,Salva.,NA
gave,0.20069352236366633,0.7143457458211762,asked,NA
Krishna,0.37806127063959116,0.9208122906422499,celestials,NA
Yadavas,0.851359018626979,0.668528261027702,friend,NA
offer,0.43347067029042846,0.6881107082663405,vowed,NA
Shiva,0.7779475166556916,0.7025543642346653,Salva.,NA
handful,0.5994903154643976,0.7028408896323997,chariot,NA
Salva,1.0,0.6389737470714594,Shiva,NA
Soubha,0.8164722818498625,0.709378473996372,friend,NA
strike,0.5994903154643976,0.7292368850464966,nearly,NA
asura,0.6163515118943914,0.7188451578391086,nearly,NA
nearly,0.6139023232109757,0.7583816165182291,chariot,NA
dust,0.3852905221170182,0.8021500680719448,celestials,NA
succumbing,0.507699839811063,0.8480295203029298,worship,NA
vowed,0.4507052592401936,0.7035659364418756,reptiles,NA
entire,0.37210123252113325,1.0,celestials,NA
resolve,0.5994903154643976,0.7554385396958584,chariot,NA
Ordered,0.7151873025304192,0.6898682396557811,Rukmini,NA
especially,0.507699839811063,0.7027523127073501,universe,NA
celestials,0.37068728360858766,1.0,entire,NA
attacks,0.507699839811063,0.8760520612305956,worship,NA
universe,0.5237148610443224,0.810578982287729,reptiles,NA
could,0.057844941094332095,0.6701360110056764,also,NA
created,0.3289790495887946,0.7402560098321597,help,NA
bride,0.6421397432761011,0.6755915598209787,chariot,NA
architect,0.5994903154643976,0.7145292563131683,chariot,NA
undesirable,0.4507052592401936,0.6963344288602477,reptiles,NA
iron,0.555062634742525,0.7030849592905002,reptiles,NA
hearts,0.33792948897627234,0.7803441004812606,hatred,NA
hatred,0.3289790495887946,0.7888410411106982,help,NA
asked,0.2303113863807199,0.7143457458211762,gave,NA
unhindered,0.507699839811063,0.7172576626404883,worship,NA
Shiva living,1.0,0.6379010186998515,asura,NA
"universe unhindered,",1.0,0.6369402141855132,universe,NA
entire universe,1.0,0.6357125562494487,entire,NA
asura architect,1.0,0.6379010186998515,asura,NA
strike terror,1.0,0.6377099540630169,strike,NA
